id,employee_id,department,manager,category,description,resolution,status,priority,created_at,resolved_at
1,1027,Operations,Sarah Johnson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Low,2026-02-27,2026-03-06
2,1007,Engineering,Sarah Johnson,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Medium,2026-03-01,2026-03-20
3,1109,HR,Michael Brown,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,High,2026-01-02,2026-01-10
4,1098,Marketing,Michael Brown,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Low,2026-01-27,2026-02-01
5,1118,HR,Michael Brown,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,In Progress,Low,2026-01-12,
6,1018,Operations,Robert Taylor,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Low,2026-04-03,2026-04-12
7,1098,Engineering,Sarah Johnson,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,In Progress,High,2026-01-26,
8,1091,Operations,Sarah Johnson,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,In Progress,Medium,2026-04-05,
9,1044,Sales,David Wilson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,In Progress,Medium,2026-06-05,
10,1015,Operations,Robert Taylor,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Medium,2026-02-26,2026-03-11
11,1055,Finance,Michael Brown,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,In Progress,High,2026-01-17,
12,1068,Finance,Emily Davis,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,In Progress,Medium,2026-02-06,
13,1110,HR,Michael Brown,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,In Progress,Critical,2026-05-30,
14,1013,Technology,Robert Taylor,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Low,2026-05-07,2026-05-12
15,1017,Marketing,Emily Davis,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,In Progress,Critical,2026-06-02,
16,1003,Finance,Robert Taylor,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Low,2026-03-06,2026-03-26
17,1112,Operations,David Wilson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,In Progress,Medium,2026-03-17,
18,1130,Sales,Michael Brown,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Low,2026-05-09,2026-05-17
19,1040,HR,Robert Taylor,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,In Progress,High,2026-02-20,
20,1126,Marketing,Robert Taylor,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Low,2026-01-01,2026-01-14
21,1015,Marketing,Michael Brown,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Submitted,Medium,2026-03-03,
22,1033,Finance,David Wilson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Critical,2026-05-17,2026-05-24
23,1139,Marketing,Robert Taylor,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Medium,2026-04-19,2026-04-28
24,1116,Sales,Michael Brown,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Low,2026-04-23,2026-05-12
25,1059,Operations,David Wilson,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Medium,2026-05-31,2026-06-20
26,1009,Sales,David Wilson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,High,2026-02-28,2026-03-05
27,1034,Operations,Emily Davis,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Critical,2026-02-24,2026-03-16
28,1025,Marketing,Emily Davis,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,In Progress,Low,2026-02-18,
29,1016,Finance,Emily Davis,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Critical,2026-01-14,2026-01-20
30,1049,Engineering,Sarah Johnson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,In Progress,Critical,2026-02-19,
31,1114,Operations,Emily Davis,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Low,2026-03-05,2026-03-10
32,1061,HR,David Wilson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,In Progress,Medium,2026-01-24,
33,1098,Technology,Emily Davis,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Low,2026-01-16,2026-01-24
34,1143,Marketing,Emily Davis,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Critical,2026-03-15,2026-03-31
35,1016,Technology,David Wilson,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,High,2026-05-29,2026-06-18
36,1015,Finance,Robert Taylor,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Low,2026-05-16,2026-05-24
37,1146,Engineering,Sarah Johnson,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Medium,2026-04-14,2026-04-20
38,1134,Finance,Robert Taylor,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,In Progress,High,2026-05-25,
39,1102,Sales,Michael Brown,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Medium,2026-03-03,2026-03-14
40,1145,Marketing,David Wilson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Low,2026-01-03,2026-01-20
41,1018,HR,Michael Brown,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Medium,2026-02-03,2026-02-17
42,1136,Finance,Robert Taylor,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,Low,2026-06-30,2026-07-12
43,1030,Engineering,Sarah Johnson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Submitted,Low,2026-03-09,
44,1068,HR,Sarah Johnson,Leadership,Manager never appreciates employee work.,Monthly One-on-One Meetings,Resolved,Critical,2026-03-29,2026-04-07
45,1109,Marketing,David Wilson,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Submitted,High,2026-01-24,
46,1042,Marketing,Sarah Johnson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Resolved,Critical,2026-06-13,2026-06-24
47,1140,Engineering,David Wilson,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Resolved,Low,2026-06-26,2026-07-03
48,1079,Technology,Emily Davis,Leadership,Engineering decisions are ignored by management.,Technical Review Board Introduced,Resolved,High,2026-02-02,2026-02-06
49,1027,Technology,Sarah Johnson,Leadership,Manager humiliates employees during meetings.,Leadership Coaching Program,Submitted,High,2026-06-20,
50,1042,Sales,Sarah Johnson,Leadership,Manager shouts during sprint reviews.,Manager Performance Improvement Plan,Submitted,Medium,2026-03-02,
51,1069,Sales,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Medium,2026-04-16,2026-04-26
52,1052,Marketing,David Wilson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Critical,2026-05-01,2026-05-11
53,1050,Marketing,Sarah Johnson,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-02-27,2026-03-02
54,1103,Engineering,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,High,2026-03-31,2026-04-19
55,1010,Operations,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Low,2026-05-29,2026-06-09
56,1030,Sales,Michael Brown,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Critical,2026-04-22,2026-05-11
57,1138,Engineering,Emily Davis,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Medium,2026-01-01,2026-01-20
58,1032,Sales,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,High,2026-06-09,2026-06-22
